id,name,description,gid,cod_bairro,created_at,updated_at,population_2020
1,BEIRA RIO,BEIRA RIO,23,77,2019-08-03 16:09:04,2019-08-03 16:09:04,3000
9,DISTRITO INDUSTRIAL,DISTRITO INDUSTRIAL,8,66,2019-08-03 16:09:06,2019-08-03 16:09:06,4850
10,PARQUE PIAUÍ,PARQUE PIAUÍ,9,30,2019-08-03 16:09:07,2019-08-03 16:09:07,11307
11,SACI,SACI,10,27,2019-08-03 16:09:07,2019-08-03 16:09:07,8000
12,PARQUE SUL,PARQUE SUL,11,120,2019-08-03 16:09:08,2019-08-03 16:09:08,4000
13,SANTA LUZIA,SANTA LUZIA,12,74,2019-08-03 16:09:08,2019-08-03 16:09:08,734
25,CIDADE NOVA,CIDADE NOVA,25,37,2019-08-03 16:09:13,2019-08-03 16:09:13,3600
26,NOVO HORIZONTE,NOVO HORIZONTE,26,83,2019-08-03 16:09:13,2019-08-03 16:09:13,10711
27,MACAÚBA,MACAÚBA,27,35,2019-08-03 16:09:14,2019-08-03 16:09:14,5925
28,FLOR DO CAMPO,FLOR DO CAMPO,36,127,2019-08-03 16:09:14,2019-08-03 16:09:14,3500
29,PIRAJÁ,PIRAJÁ,48,3,2019-08-03 16:09:15,2019-08-03 16:09:15,2898
30,VERMELHA,VERMELHA,28,24,2019-08-03 16:09:15,2019-08-03 16:09:15,5659
31,MONTE CASTELO,MONTE CASTELO,29,36,2019-08-03 16:09:17,2019-08-03 16:09:17,10981
32,SÃO SEBASTIÃO,SÃO SEBASTIÃO,30,88,2019-08-03 16:09:18,2019-08-03 16:09:18,13000
33,NOSSA SRA. DAS GRAÇAS,NOSSA SRA. DAS GRAÇAS,31,23,2019-08-03 16:09:19,2019-08-03 16:09:19,3964
34,CRISTO REI,CRISTO REI,32,39,2019-08-03 16:09:19,2019-08-03 16:09:19,10000
35,ITARARÉ,ITARARÉ,33,49,2019-08-03 16:09:20,2019-08-03 16:09:20,37443
36,PARQUE IDEAL,PARQUE IDEAL,34,84,2019-08-03 16:09:21,2019-08-03 16:09:21,13000
37,COLORADO,COLORADO,35,79,2019-08-03 16:09:21,2019-08-03 16:09:21,7300
38,PIÇARRA,PIÇARRA,37,22,2019-08-03 16:09:22,2019-08-03 16:09:22,3662
39,ILHOTAS,ILHOTAS,38,21,2019-08-03 16:09:22,2019-08-03 16:09:22,6956
40,FREI SERAFIM,FREI SERAFIM,39,106,2019-08-03 16:09:23,2019-08-03 16:09:23,2562
42,CENTRO,CENTRO,41,1,2019-08-03 16:09:23,2019-08-03 16:09:23,10500
43,RECANTO DAS PALMEIRAS,RECANTO DAS PALMEIRAS,42,96,2019-08-03 16:09:24,2019-08-03 16:09:24,1000
44,CABRAL,CABRAL,43,20,2019-08-03 16:09:25,2019-08-03 16:09:25,3450
45,MATINHA,MATINHA,44,2,2019-08-03 16:09:25,2019-08-03 16:09:25,3129
46,MAFUÁ,MAFUÁ,45,19,2019-08-03 16:09:26,2019-08-03 16:09:26,2861
47,TODOS OS SANTOS,TODOS OS SANTOS,46,89,2019-08-03 16:09:26,2019-08-03 16:09:26,2000
49,JACINTA ANDRADE,JACINTA ANDRADE,120,125,2019-08-03 16:09:27,2019-08-03 16:09:27,3500
51,SANTA ISABEL,SANTA ISABEL,50,100,2019-08-03 16:09:27,2019-08-03 16:09:27,8000
53,ACARAPE,ACARAPE,52,54,2019-08-03 16:09:29,2019-08-03 16:09:29,3050
56,SANTA LIA,SANTA LIA,55,99,2019-08-03 16:09:30,2019-08-03 16:09:30,2400
57,PRIMAVERA,PRIMAVERA,56,17,2019-08-03 16:09:30,2019-08-03 16:09:30,9102
59,AEROPORTO,AEROPORTO,58,13,2019-08-03 16:09:32,2019-08-03 16:09:32,7700
60,REAL COPAGRE,REAL COPAGRE,59,12,2019-08-03 16:09:32,2019-08-03 16:09:32,6000
61,NOVO URUGUAI,NOVO URUGUAI,60,93,2019-08-03 16:09:33,2019-08-03 16:09:33,3500
62,ITAPERU,ITAPERU,61,61,2019-08-03 16:09:33,2019-08-03 16:09:33,2166
63,ININGA,ININGA,62,43,2019-08-03 16:09:34,2019-08-03 16:09:34,8099
65,MEMORARE,MEMORARE,64,11,2019-08-03 16:09:35,2019-08-03 16:09:35,5667
67,MAFRENSE,MAFRENSE,66,6,2019-08-03 16:09:36,2019-08-03 16:09:36,6492
68,PORTO DO CENTRO,PORTO DO CENTRO,67,95,2019-08-03 16:09:37,2019-08-03 16:09:37,7100
76,EMBRAPA,EMBRAPA,74,56,2019-08-03 16:09:41,2019-08-03 16:09:41,1006
78,MOCAMBINHO,MOCAMBINHO,76,57,2019-08-03 16:09:41,2019-08-03 16:09:41,28385
79,VALE QUEM TEM,VALE QUEM TEM,77,104,2019-08-03 16:09:43,2019-08-03 16:09:43,21500
81,PARQUE POTI,PARQUE POTI,79,85,2019-08-03 16:09:44,2019-08-03 16:09:44,4624
84,MATADOURO,MATADOURO,82,4,2019-08-03 16:09:45,2019-08-03 16:09:45,5530
87,PORENQUANTO,PORENQUANTO,85,18,2019-08-03 16:09:46,2019-08-03 16:09:46,2300
88,LOURIVAL PARENTE,LOURIVAL PARENTE,86,32,2019-08-03 16:09:47,2019-08-03 16:09:47,14753
90,SANTA CRUZ,SANTA CRUZ,88,73,2019-08-03 16:09:47,2019-08-03 16:09:47,9800
91,BELA VISTA,BELA VISTA,89,31,2019-08-03 16:09:48,2019-08-03 16:09:48,13500
93,BRASILAR,BRASILAR,91,64,2019-08-03 16:09:48,2019-08-03 16:09:48,3000
94,PARQUE JACINTA,PARQUE JACINTA,92,69,2019-08-03 16:09:49,2019-08-03 16:09:49,1350
95,PEDRA MIÚDA,PEDRA MIÚDA,93,113,2019-08-03 16:09:49,2019-08-03 16:09:49,4000
96,PORTAL DA ALEGRIA,PORTAL DA ALEGRIA,94,119,2019-08-03 16:09:49,2019-08-03 16:09:49,12500
98,TANCREDO NEVES,TANCREDO NEVES,96,108,2019-08-03 16:09:49,2019-08-03 16:09:49,3374
99,GURUPI,GURUPI,97,81,2019-08-03 16:09:50,2019-08-03 16:09:50,13724
100,MONTE VERDE,MONTE VERDE,123,126,2019-08-03 16:09:50,2019-08-03 16:09:50,1500
102,NOIVOS,NOIVOS,99,40,2019-08-03 16:09:51,2019-08-03 16:09:51,4100
103,HORTO,HORTO,100,45,2019-08-03 16:09:51,2019-08-03 16:09:51,5889
104,MORADA DO SOL,MORADA DO SOL,101,50,2019-08-03 16:09:52,2019-08-03 16:09:52,6500
105,URUGUAI,URUGUAI,102,53,2019-08-03 16:09:52,2019-08-03 16:09:52,6500
106,SAMAPI,SAMAPI,103,98,2019-08-03 16:09:53,2019-08-03 16:09:53,10000
108,MORROS,MORROS,105,92,2019-08-03 16:09:54,2019-08-03 16:09:54,1400
109,SOCOPO,SOCOPO,106,97,2019-08-03 16:09:55,2019-08-03 16:09:55,1892
111,VERDE LAR,VERDE LAR,108,103,2019-08-03 16:09:56,2019-08-03 16:09:56,1612
